order_id,sample_id,site,date_collected,test,parameter,result,units,rep_limit,analysis_employee,param_analysis_date,instrument,method,matrix
2019011506,2019011506-01,304 LA CB 1m,2019-01-15T08:07:30Z,Chla,Chla,0.61,µg/L,0.5,dlangenfeld,2019-05-30T18:00:00Z,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2019032603,2019032603-01,304 LA CB 1m,2019-03-26T02:53:44Z,Chla,Chla,0.99,µg/L,0.5,dlangenfeld,2019-05-30T18:00:00Z,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2020010705,2020010705-01,304 LA CB 1m,2020-01-07T03:45:17Z,Chla,Chla,NA,µg/L,0.5,NA,NA,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2020031707,2020031707-01,304 LA CB 1m,2020-03-17T10:05:00Z,Chla,Chla,NA,µg/L,0.5,NA,NA,Turner Designs Trilogy Fluorometer,ELA-Chla,Lake Water
2020010705,2020010705-01,304 LA CB 1m,2020-01-07T03:45:17Z,DIC,DIC,224,µM,NA,esmith,2020-01-07T18:00:00Z,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,Lake Water
2020031707,2020031707-01,304 LA CB 1m,2020-03-17T10:05:00Z,DIC,DIC,451,µM,NA,swarrack,2020-03-16T18:00:00Z,LI-850 LI-COR CO2/H20 Gas Analyzer,ELA-DIC,Lake Water
2019011506,2019011506-01,304 LA CB 1m,2019-01-15T08:07:30Z,DOC,DOC,708,µM,13,mbouch,2019-11-13T18:00:00Z,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
2019032603,2019032603-01,304 LA CB 1m,2019-03-26T02:53:44Z,DOC,DOC,742,µM,13,mbouch,2019-11-20T18:00:00Z,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
2020010705,2020010705-01,304 LA CB 1m,2020-01-07T03:45:17Z,DOC,DOC,NA,µM,13,NA,NA,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
2020031707,2020031707-01,304 LA CB 1m,2020-03-17T10:05:00Z,DOC,DOC,NA,µM,13,NA,NA,Shimadzu TOC-VCPH/CPN,FWI-DOC,Lake Water
